"CountryCode","Year","Total_Medals","GDP_per_capita","Education_Expenditure","Health_Expenditure","Population","Unemployment_Rate","CountryName"
"AFG",2000,0,308.318269746638,NA,NA,20130327,7.935,"Afghanistan"
"AFG",2002,0,338.139973643387,NA,9.44339085,21378117,7.93,"Afghanistan"
"AFG",2004,0,338.637273888197,NA,9.80847359,23560654,7.899,"Afghanistan"
"AFG",2006,0,367.75831169358,4.68476057052612,10.62276554,25424094,7.914,"Afghanistan"
"AFG",2008,1,417.647282647498,4.38367223739624,10.25649548,26482622,7.878,"Afghanistan"
"AFG",2010,0,542.871030476037,3.4794499874115,8.56967163,28284089,7.753,"Afghanistan"
"AFG",2012,1,568.929021458341,2.60419988632202,7.89716864,30560034,7.856,"Afghanistan"
"AFG",2014,0,575.146245808546,3.69521999359131,9.52887821,32792523,7.915,"Afghanistan"
"AFG",2016,0,563.872336723147,4.54397010803223,11.81859016,34700612,10.133,"Afghanistan"
"AFG",2018,0,553.125151688293,NA,14.20841885,36743039,11.196,"Afghanistan"
"AFG",2020,0,527.834554499306,NA,15.53361416,39068979,11.71,"Afghanistan"
"AFG",2022,0,377.665627080705,NA,NA,40578842,14.1,"Afghanistan"
"ARG",2000,4,10631.6503639029,4.58030986785889,8.22001076,37213984,15,"Argentina"
"ARG",2002,0,8861.56199282278,4.01734018325806,7.3933115,38029349,19.59,"Argentina"
"ARG",2004,6,10302.4465316428,3.48652005195618,7.22868252,38815916,13.522,"Argentina"
"ARG",2006,0,11870.2791559298,4.12821006774902,7.64032793,39622115,10.078,"Argentina"
"ARG",2008,6,13197.3570267029,4.84440994262695,8.1826973,40424148,7.837,"Argentina"
"ARG",2010,0,13387.1553748458,5.01971006393433,9.44546413,41288694,7.714,"Argentina"
"ARG",2012,4,13754.4254235596,5.34582996368408,9.82726669,42161721,7.217,"Argentina"
"ARG",2014,0,13456.1319159151,5.36144018173218,9.67129993,43024071,7.268,"Argentina"
"ARG",2016,4,13265.8860639123,5.54548978805542,9.85558891,43900313,8.085,"Argentina"
"ARG",2018,0,13058.3285449954,4.87773990631104,10.29146862,44654882,9.22,"Argentina"
"ARG",2020,3,11393.0505957877,5.27689981460571,10.34701538,45191965,11.461,"Argentina"
"ARG",2022,0,13182.7933950725,4.80521011352539,NA,45407904,6.805,"Argentina"
"ARM",2000,1,1229.21510436102,2.77273011207581,4.2,3221100,11.095,"Armenia"
"ARM",2002,0,1535.20452885187,2.13504004478455,7.61,3199800,10.833,"Armenia"
"ARM",2004,0,1955.22262459229,2.48673009872437,6.06,3164900,10.617,"Armenia"
"ARM",2006,0,2551.43546358452,2.71577000617981,5.85,3127100,10.465,"Armenia"
"ARM",2008,5,3141.33193500774,3.17272996902466,6.64,3087100,17.1,"Armenia"
"ARM",2010,0,2796.08143428043,3.24900007247925,9.24,3044800,19.523,"Armenia"
"ARM",2012,2,3159.75860786889,2.77248001098633,9.13,3024100,17.511,"Armenia"
"ARM",2014,0,3393.09252326884,2.24724006652832,10.18,3013800,17.498,"Armenia"
